1592265600,0.27581,0.27581,0.27581,0.27581,109.41434861,4
1592352000,0.28,0.28727,0.27101,0.27782,36431.52669047,54
1592438400,0.28128,0.28128,0.28128,0.28128,1231.26510007,1
1592524800,0.27582,0.27663,0.27269,0.27584,28965.17391051,34
1592611200,0.27345,0.27462,0.27216,0.27442,22372.45091327,21
1592697600,0.27563,0.27621,0.27435,0.27575,249.8,5
1592784000,0.2752,0.2752,0.27223,0.27463,44848.77069113,16
1592870400,0.27513,0.27513,0.27106,0.27293,56952.03400412,23
1592956800,0.27078,0.2713,0.26179,0.2663,9976.30727396,9
1593043200,0.26815,0.26849,0.26332,0.26332,50018.51345072,23
1593129600,0.2656,0.2687,0.26081,0.26671,69445.58950867,40
1593216000,0.2658,0.26626,0.2479,0.256,38626.92256752,80
1593302400,0.25323,0.26066,0.25242,0.25862,2249.40724866,51
1593388800,0.258,0.25956,0.25644,0.25868,71223.39979693,15
1593475200,0.2577,0.25885,0.25514,0.25514,7855.63466851,11
1593561600,0.25501,0.2581,0.25501,0.25577,3496.42364055,14
1593648000,0.2576,0.25774999,0.25216,0.25366,142146.57619792,63
1593734400,0.25483,0.25818,0.2539,0.25480999,54532.52737585,32
1593820800,0.25616,0.25879,0.25616,0.25879,3697.13363995,14
1593907200,0.25717,0.25717,0.25299,0.25299,1149.01200136,6
1593993600,0.25763999,0.27056999,0.25763999,0.27056999,8945.82848064,23
1594080000,0.26989999,0.27045999,0.26494,0.26494,105714.12949551,92
1594166400,0.26694,0.29426,0.26694,0.29426,120480.76149676,130
1594252800,0.29171999,0.3009,0.28477999,0.29241,144256.67736413,160
1594339200,0.2868,0.2868,0.2791,0.2854,111065.3468237299,127
1594425600,0.28917,0.29423,0.28671999,0.29053,116725.99889728,93
1594512000,0.28907,0.29271999,0.28641,0.2876,222903.9939460399,173
1594598400,0.29009,0.2959,0.281,0.2886,182893.69584671,80
1594684800,0.28656,0.28656,0.28238,0.28538,73782.96414195,62
1594771200,0.28347,0.28348,0.2813,0.28166999,27104.52240382,19
1594857600,0.28141,0.28141,0.27300999,0.2792,179916.51100536,135
1594944000,0.27631,0.28248,0.27631,0.28248,15835.20315369,13
1595030400,0.28,0.28707,0.28,0.28693,16254.06961303,12
1595116800,0.28483,0.28599,0.28483,0.28599,4778.54,2
1595203200,0.28266,0.28266,0.27804,0.27939,16558.15725476,6
1595289600,0.27924,0.28413,0.27909,0.27954,42435.15186972,42
1595376000,0.27746,0.28544,0.27594999,0.28208,331447.4458329001,147
1595462400,0.28682999,0.2919,0.28364,0.2914,123596.98750075,51
1595548800,0.29165,0.29232,0.28999999,0.28999999,4982.51846724,4
1595635200,0.29493999,0.30594,0.29298999,0.30594,3952.54508,11
1595721600,0.30719,0.31779,0.3071,0.30812,14821.16730814,12
1595808000,0.30551,0.31868999,0.29856,0.31868999,74525.16706512,49
1595894400,0.31416,0.32756999,0.29297,0.32756999,42068.38514966,32
1595980800,0.33203,0.34613,0.33203,0.34613,4642.00857754,13
